implementacion,etiqueta,maquina,nodos,aristas,hilos,scheduling,chunk,repeticion,tiempo_ms,distancia,nodos_visitados,aristas_recorridas
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,0,7,126.5278,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,16,1,115.7619,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,16,2,167.9314,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,16,3,164.2594,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,16,4,118.5082,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,16,5,122.8389,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,16,6,121.3113,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,16,7,108.2087,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,64,1,206.3946,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,64,2,130.0476,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,64,3,116.8398,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,64,4,123.7928,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,64,5,118.9654,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,64,6,157.2019,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,64,7,150.5264,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,256,1,190.7024,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,256,2,177.5745,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,256,3,180.3361,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,256,4,233.1809,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,256,5,168.8902,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,256,6,160.7767,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,static,256,7,186.9989,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,0,1,168.1927,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,0,2,144.3128,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,0,3,131.2029,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,0,4,149.5754,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,0,5,137.9749,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,0,6,139.4877,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,0,7,140.1740,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,1,103.8029,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,2,114.5597,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,3,106.9565,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,4,109.6401,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,5,106.6733,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,6,185.6120,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,16,7,130.2526,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,64,1,123.0921,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,64,2,125.8475,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,64,3,98.0832,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,64,4,109.8526,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,64,5,129.2318,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,64,6,112.0365,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,64,7,103.7625,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,256,1,99.7810,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,256,2,110.6929,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,256,3,112.4125,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,256,4,116.0819,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,256,5,112.3451,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,256,6,117.1118,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,dynamic,256,7,156.6205,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,0,1,102.9118,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,0,2,109.2550,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,0,3,109.6196,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,0,4,119.1179,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,0,5,135.3775,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,0,6,212.9458,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,0,7,264.1675,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,16,1,209.6613,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,16,2,126.0385,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,16,3,124.3280,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,16,4,122.3244,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,16,5,119.0922,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,16,6,110.1786,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,16,7,130.0939,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,64,1,107.1503,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,64,2,139.3425,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,64,3,112.9429,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,64,4,119.7397,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,64,5,116.0402,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,64,6,117.5204,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,64,7,131.5304,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,256,1,105.5017,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,256,2,128.7835,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,256,3,160.0557,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,256,4,139.6449,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,256,5,121.7381,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,256,6,123.0105,-1,2000000,31999928
paralelo,sched,LAPTOP-46DB7QF0,2000000,15999964,8,guided,256,7,147.2486,-1,2000000,31999928
